QueId,UserId,Score,CreationTime,Tags,AnsCnt,ViewCnt
2575741,11142,6,1270411979,"design,web-applications,documentation,architecture",2,16723
43059550,2881217,0,1490667505,sitecore,0,1
43059548,2643730,0,1490667503,mysql,0,2
43029024,5124443,0,1490533130,"c++,time-complexity",1,49
43059197,5976231,0,1490664993,"python,escaping,character,newline",2,9
43059427,4810639,-1,1490666662,"c++,object,memory-leaks",1,9
10411529,1132646,74,1335952843,"entity-framework,migration",16,56251
43059545,7765275,0,1490667485,"javascript,php,arrays,ajax,wordpress",0,2
43059544,1795924,0,1490667479,"java,swing,search,filter",0,2
43059501,7777274,-3,1490667191,"c++,arduino",1,12
42789001,3066813,0,1489502475,"javascript,graphql,relayjs",1,18
43059472,4131972,0,1490667006,docker,1,3
30956826,5031603,2,1434820519,"gradle,build.gradle",2,399
43059539,7585985,0,1490667461,java,0,4
43059538,5392773,-1,1490667457,"java,regex,replaceall",0,5
43058988,5155833,0,1490663540,"r,lapply,hypothesis-test",0,6
43059371,7730113,0,1490666245,heatmap,0,3
43043931,7436938,0,1490610503,"windows,batch-file,cmd,sh,globbing",1,26
38122521,613949,0,1467288082,"java,cryptography,jose4j,jwe",4,271
43059279,1641760,0,1490665656,"java,string,java-8",1,15
43059512,7767863,0,1490667253,"php,arrays,session,equation",0,10
43059266,5776270,0,1490665545,"ios,swift3,uialertcontroller,dismiss",1,11
43059504,5355343,0,1490667202,sql,1,7
43059280,5380313,0,1490665658,"javascript,reactjs,redux-form",0,4
43059534,853560,0,1490667420,flowtype,0,3
43059446,7448365,-2,1490666785,"c,function",1,14
43059532,1912128,0,1490667409,"amazon-web-services,amazon-dynamodb,boto3",0,3
43059531,7777240,0,1490667407,"oracle,service,windows2012,tuxedo",0,2
43059530,4654846,0,1490667396,"java,android,double,multiplying",0,7
43059335,7777214,-1,1490666005,"javascript,canvas",1,27
43058661,5355343,0,1490661013,sql,1,16
43045282,7773716,1,1490614454,"python,gcc,pycuda",0,22
43059556,623266,0,1490667533,"rspec,ruby-on-rails-5",0,2
43059555,7777267,0,1490667533,"swift,avfoundation,swift-playground,morse-code",0,2
43059554,7776953,0,1490667529,"python,loops,nested,vectorization",0,2
43059553,7722826,0,1490667529,"angularjs,factory",0,2
43059552,7573927,0,1490667515,"c++,histogram",0,2
43059551,1151144,0,1490667513,"java,eclipse,jar,warnings",0,2
2575741,11142,6,1270411979,"design,web-applications,documentation,architecture",2,16724
43059550,2881217,0,1490667505,sitecore,0,2
43059548,2643730,0,1490667503,mysql,0,2
43029024,5124443,0,1490533130,"c++,time-complexity",1,49
43059197,5976231,0,1490664993,"python,escaping,character,newline",2,9
43059427,4810639,-1,1490666662,"c++,object,memory-leaks",1,10
10411529,1132646,74,1335952843,"entity-framework,migration",16,56251
43059545,7765275,0,1490667485,"javascript,php,arrays,ajax,wordpress",0,2
43059544,1795924,0,1490667479,"java,swing,search,filter",0,4
43059501,7777274,-3,1490667191,"c++,arduino",1,12
42789001,3066813,0,1489502475,"javascript,graphql,relayjs",1,18
43059472,4131972,0,1490667006,docker,1,4
30956826,5031603,2,1434820519,"gradle,build.gradle",2,399
43059539,7585985,0,1490667461,java,0,9
43059538,5392773,-1,1490667457,"java,regex,replaceall",0,6
43058988,5155833,0,1490663540,"r,lapply,hypothesis-test",0,6
43059371,7730113,0,1490666245,heatmap,0,3
43043931,7436938,0,1490610503,"windows,batch-file,cmd,sh,globbing",1,26
38122521,613949,0,1467288082,"java,cryptography,jose4j,jwe",4,271
43059279,1641760,0,1490665656,"java,string,java-8",1,15
43059512,7767863,0,1490667253,"php,arrays,session,equation",0,11
43059266,5776270,0,1490665545,"ios,swift3,uialertcontroller,dismiss",1,11
39663172,6870744,1,1474640602,"android,ios,cordova,streaming,ip-camera",1,110
43059560,288652,0,1490667564,"react-native,react-native-android",0,1
43059559,7423120,0,1490667559,"sql,angularjs,sql-server,node.js,date",0,2
43059558,7777234,0,1490667555,overriding,0,2
43058661,5355343,0,1490661013,sql,1,16
43045282,7773716,1,1490614454,"python,gcc,pycuda",0,22
43059556,623266,0,1490667533,"rspec,ruby-on-rails-5",0,2
43059555,7777267,0,1490667533,"swift,avfoundation,swift-playground,morse-code",0,2
43059554,7776953,0,1490667529,"python,loops,nested,vectorization",0,3
43059553,7722826,0,1490667529,"angularjs,factory",0,2
43059552,7573927,0,1490667515,"c++,histogram",0,2
43059551,1151144,0,1490667513,"java,eclipse,jar,warnings",0,2
2575741,11142,6,1270411979,"design,web-applications,documentation,architecture",2,16724
43059550,2881217,0,1490667505,sitecore,0,2
43059548,2643730,0,1490667503,mysql,0,2
43029024,5124443,0,1490533130,"c++,time-complexity",1,49
43059197,5976231,0,1490664993,"python,escaping,character,newline",2,9
43059427,4810639,-1,1490666662,"c++,object,memory-leaks",1,10
10411529,1132646,74,1335952843,"entity-framework,migration",16,56251
43059545,7765275,0,1490667485,"javascript,php,arrays,ajax,wordpress",0,3
43059544,1795924,0,1490667479,"java,swing,search,filter",0,4
43059501,7777274,-3,1490667191,"c++,arduino",1,12
42789001,3066813,0,1489502475,"javascript,graphql,relayjs",1,18
43059472,4131972,0,1490667006,docker,1,4
30956826,5031603,2,1434820519,"gradle,build.gradle",2,399
43059539,7585985,0,1490667461,java,0,10
43059538,5392773,-1,1490667457,"java,regex,replaceall",0,6
43058988,5155833,0,1490663540,"r,lapply,hypothesis-test",0,6
43059371,7730113,0,1490666245,heatmap,0,3
43043931,7436938,0,1490610503,"windows,batch-file,cmd,sh,globbing",1,26
43059509,5957881,0,1490667237,"java,regex,string",1,7
43059568,5441770,0,1490667606,"java,xml,asynchronous,logging,log4j2",0,1
43038276,3930169,0,1490590896,"angularjs,spring,spring-mvc,spring-boot,spring-security",1,25
43059131,7776990,0,1490664572,"excel,vba,excel-vba",1,14
43059565,7777186,0,1490667591,"android,marshmallow",0,2
43059564,7300788,0,1490667591,"android,iis",0,2
43059334,1938827,0,1490666004,mongodb,0,4
43059563,6895697,0,1490667586,"java,java-8",0,1
43059353,6015031,0,1490666112,"c#,visual-studio,listbox,listboxitem,mouseclick-event",1,12
39663172,6870744,1,1474640602,"android,ios,cordova,streaming,ip-camera",1,110
43059560,288652,0,1490667564,"react-native,react-native-android",0,2
43059559,7423120,0,1490667559,"sql,angularjs,sql-server,node.js,date",0,3
43059558,7777234,0,1490667555,overriding,0,2
43058661,5355343,0,1490661013,sql,1,16
43045282,7773716,1,1490614454,"python,gcc,pycuda",0,23
43059556,623266,0,1490667533,"rspec,ruby-on-rails-5",0,3
43059555,7777267,0,1490667533,"swift,avfoundation,swift-playground,morse-code",0,2
43059554,7776953,0,1490667529,"python,loops,nested,vectorization",0,5
43059553,7722826,0,1490667529,"angularjs,factory",0,2
43059552,7573927,0,1490667515,"c++,histogram",0,3
43059551,1151144,0,1490667513,"java,eclipse,jar,warnings",0,3
2575741,11142,6,1270411979,"design,web-applications,documentation,architecture",2,16724
43059550,2881217,0,1490667505,sitecore,0,2
43059548,2643730,0,1490667503,mysql,0,2
43029024,5124443,0,1490533130,"c++,time-complexity",1,49
43059197,5976231,0,1490664993,"python,escaping,character,newline",2,9
43059427,4810639,-1,1490666662,"c++,object,memory-leaks",1,10
10411529,1132646,74,1335952843,"entity-framework,migration",16,56251
43059545,7765275,0,1490667485,"javascript,php,arrays,ajax,wordpress",0,3
43059544,1795924,0,1490667479,"java,swing,search,filter",0,5
43059573,7777250,0,1490667617,"javascript,arrays,app-lab",0,2
43059514,5733338,0,1490667276,"loops,break",1,8
43059571,7382128,0,1490667614,c#,0,1
43059570,7777291,0,1490667614,"division,subroutine,pic18",0,2
43059509,5957881,0,1490667237,"java,regex,string",1,7
43059568,5441770,0,1490667606,"java,xml,asynchronous,logging,log4j2",0,2
43038276,3930169,0,1490590896,"angularjs,spring,spring-mvc,spring-boot,spring-security",1,25
43059131,7776990,0,1490664572,"excel,vba,excel-vba",1,14
43059565,7777186,0,1490667591,"android,marshmallow",0,2
43059564,7300788,0,1490667591,"android,iis",0,2
43059334,1938827,0,1490666004,mongodb,0,4
43059563,6895697,0,1490667586,"java,java-8",0,1
43059353,6015031,0,1490666112,"c#,visual-studio,listbox,listboxitem,mouseclick-event",1,12
39663172,6870744,1,1474640602,"android,ios,cordova,streaming,ip-camera",1,110
43059560,288652,0,1490667564,"react-native,react-native-android",0,2
43059559,7423120,0,1490667559,"sql,angularjs,sql-server,node.js,date",0,3
43059558,7777234,0,1490667555,overriding,0,3
43058661,5355343,0,1490661013,sql,1,16
43045282,7773716,1,1490614454,"python,gcc,pycuda",0,23
43059556,623266,0,1490667533,"rspec,ruby-on-rails-5",0,3
43059555,7777267,0,1490667533,"swift,avfoundation,swift-playground,morse-code",0,3
43059554,7776953,0,1490667529,"python,loops,nested,vectorization",0,8
43059553,7722826,0,1490667529,"angularjs,factory",0,2
43059552,7573927,0,1490667515,"c++,histogram",0,5
